file,path,sha256
beta_diversity.csv,D:/2025-2026/Vegetation_Ecology/03_analysis/03_outputs/tables/beta_diversity.csv,5abacfe16ddd5422dfce5966e7e6f4c60e220eb0113c9ad58d257095f1714405
cca_summary.csv,D:/2025-2026/Vegetation_Ecology/03_analysis/03_outputs/tables/cca_summary.csv,3ef8f7c560d7e29c6e94ab0b84decb879d232ecbcaf2973b7852dbfc336f4c3b
diversity_by_plot.csv,D:/2025-2026/Vegetation_Ecology/03_analysis/03_outputs/tables/diversity_by_plot.csv,f3dc087245f75cddaa92a7ad2386b87f5500c004b2697ed29697c390aea66673
diversity_correlations.csv,D:/2025-2026/Vegetation_Ecology/03_analysis/03_outputs/tables/diversity_correlations.csv,3b50408c23b9b42f572e03b839ab083213de8c7b4209bb0020d9e5a00cba2c2f
diversity_environment.csv,D:/2025-2026/Vegetation_Ecology/03_analysis/03_outputs/tables/diversity_environment.csv,de7ad6684529872bbb6f061615c666ed228a92a8aa2499662bc4c8fcb8d9e073
diversity_summary.csv,D:/2025-2026/Vegetation_Ecology/03_analysis/03_outputs/tables/diversity_summary.csv,d317a7853a85d6122522a357f88d731e92e1e26214236e617a52cbeaabdb9f73
dropped_records_qc.csv,D:/2025-2026/Vegetation_Ecology/03_analysis/03_outputs/tables/dropped_records_qc.csv,f0c4208706f9718aeb5cd1d8aa49899775a12dc6534e0e9f9af5002a9f393604
envfit_vectors_herbs.csv,D:/2025-2026/Vegetation_Ecology/03_analysis/03_outputs/tables/envfit_vectors_herbs.csv,8a92e784c710d6164048568c2278c815d4f49e2e172b236d74c0c105a065377c
envfit_vectors_regen.csv,D:/2025-2026/Vegetation_Ecology/03_analysis/03_outputs/tables/envfit_vectors_regen.csv,c97f8bd3d2fccd912b1cd53cde4897d8736d25a2a3578a19b9bc2d0570a6044c
envfit_vectors_shrubs.csv,D:/2025-2026/Vegetation_Ecology/03_analysis/03_outputs/tables/envfit_vectors_shrubs.csv,24c379d5f8a36f1f972fa7c59679081ca7bbc2f0cb626f04cb9a7005ce9e3cdc
envfit_vectors_trees.csv,D:/2025-2026/Vegetation_Ecology/03_analysis/03_outputs/tables/envfit_vectors_trees.csv,e46afe47e3fa70ca986d68805ed1e8a7c2cd6d5a762eae78a506e643c3e9356a
